,summary,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed
0,Clear,2.728551336146273,1.3832630098452883e-05,0.0020196905766526017,47.42398831950202,46.04092881548049,2.814282230076534
1,Drizzle,1.474074074074074,0.00878167195767196,0.5569313932980599,54.85918236331569,53.91105255731922,3.7963202821869486
2,Flurries,1.7142857142857142,0.0036464285714285713,0.4189285714285714,32.431785714285716,28.987142857142857,4.503214285714285
3,Foggy,2.168831168831169,0.00022476190476190474,0.02922943722943723,38.64220021645023,36.126596784168214,3.396877241805814
4,Heavy Rain,1.5,0.259375,0.95,61.355000000000004,62.025000000000006,2.44
5,Humid,2.7857142857142856,0.0,0.0,80.98506802721087,84.99469387755103,2.715544217687075
6,Humid and Mostly Cloudy,2.0,8.75e-05,0.01125,80.51247767857144,85.25180803571429,2.7098660714285714
7,Humid and Overcast,1.6666666666666667,0.0008,0.07666666666666667,77.04333333333334,79.205,1.6183333333333334
8,Humid and Partly Cloudy,1.5714285714285714,0.0,0.0,82.09964285714285,87.09059523809525,2.938333333333334
9,Light Rain,1.826086956521739,0.027609739130434793,0.8105416149068323,53.83293788819875,52.80001863354034,4.2002523809523815
10,Light Snow,1.6666666666666667,0.011966666666666667,0.5966666666666667,33.86833333333333,28.88166666666667,6.209166666666666
11,Mostly Cloudy,2.085899513776337,0.00010850955725347949,0.012264438784698099,50.74181791695607,49.27054376656123,3.914803999125313
12,Overcast,2.6381461675579323,0.0002597898452310218,0.03257691056220467,42.90765301731343,40.449536831904496,4.337986422668243
13,Partly Cloudy,2.0775193798449614,1.5260243632336652e-05,0.00204139904023625,52.62613479758829,51.44412912513848,3.3068740679217457
14,Rain,1.6,0.0941399166666667,0.9369500000000003,57.916386111111116,57.41968055555555,3.818266666666667
