,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon
44,b3908ed9a7868cf705b88f82a8f18db86e865456,2014-10-05T07:00:00,Mostly Cloudy,0,0,41.3,41.3,2.97,partly-cloudy-day
45,b0fd9193dba9c740b0869475b31ec711313413da,2013-04-07T10:45:00,Partly Cloudy,0,0,50.18,50.18,4.56,partly-cloudy-day
46,b743dd9783d010ee2393890cdc8fa3318e718f73,2016-04-03T12:30:00,Clear,0,0,51.81,51.81,8.88,clear-day
47,b8202efc6f9d97e771184967b47b4724993a3361,2014-12-03T05:30:00,Clear,0,0,27.05,21.68,4.59,clear-night
48,b0df24d4735e903d47a9f50176d9abd4c7da0e8b,2015-08-02T07:45:00,Clear,0,0,74.53,75.4,3.26,clear-day
49,ba2c7d6886af7b12fb80e0ea32eec741051aa2e8,2014-07-15T11:30:00,Mostly Cloudy,0,0,64.23,64.23,6.15,partly-cloudy-day
50,bcd61d57a231bef6a269250ad8cf0dd237f94fc6,2013-05-26T12:15:00,Mostly Cloudy,0,0,64.45,64.45,1.97,partly-cloudy-day
51,b6a6e81054e229350e57978f3c1dc0146c24ed6f,2014-03-30T08:30:00,Clear,0,0,32.91,32.91,0.18,clear-day
52,bd4e4f450506213b4af82ecad818278e9bafc0e4,2016-03-12T11:30:00,Partly Cloudy,0,0,55.73,55.73,0.55,partly-cloudy-day
53,b57372a72ee47b7bc2105780d2fe0169dfffdc59,2013-10-02T02:15:00,Partly Cloudy,0,0,66.52,67.04,1.05,partly-cloudy-night
54,b5448883145d4d73b5f1140beff8949658923230,2014-04-19T02:15:00,Clear,0,0,38.02,34.95,4.08,clear-night
55,bd2995c74597d67f4f1350d6ffa87aceab7a6c36,2015-06-14T01:45:00,Rain,0.1057,0.94,69.92,71.05,0.16,rain
56,b3d39f69c92fb18c57cf43c90e9fcf598b9aa41a,2016-06-04T09:00:00,Mostly Cloudy,0,0,72.9,72.9,4.12,partly-cloudy-day
57,bf90f3778c9217926926dae09ada8ada091f0140,2015-03-05T05:15:00,Clear,0,0,9.71,9.71,2.53,clear-night
58,bdaaecc0114b818a12499a65795fca097ae494b4,2014-07-19T02:45:00,Clear,0,0,61.59,61.59,0.01,clear-night
59,b722fd7b768e17e3660f2866f368502ae659d4df,2015-09-14T07:30:00,Partly Cloudy,0,0,56.91,56.91,3.13,partly-cloudy-day
60,c1632a86462da6280d36e0d4806b4d5a69310d7a,2016-05-28T04:45:00,Partly Cloudy,0,0,70.08,70.68,4.01,partly-cloudy-night
61,b2c809c50ec2a7b28251170036a617a2a13e9bc0,2016-06-01T09:00:00,Rain,0.0578,1,64.17,64.7,0.87,rain
62,bb3f0e73ba783af297a68a2f71b9e561a09f98b0,2013-09-30T08:15:00,Partly Cloudy,0,0,52.92,52.92,0.24,partly-cloudy-day
63,b4b29ac913a9512e746710a940a33dbd2db4f120,2016-06-06T08:45:00,Clear,0,0,72.23,72.25,3.36,clear-day
64,b37547f24dd56e3088c66eebc55c50e8583dcd16,2014-06-11T07:45:00,Drizzle,0.0099,0.61,59.07,59.12,0.73,rain
65,b01339589a90d962418f9a68d961dd257b455315,2013-06-22T01:00:00,Mostly Cloudy,0,0,73.75,74.52,3.98,partly-cloudy-night
66,ba3ad10a397391f8cf5282ed18c096b110304750,2015-03-09T10:00:00,Clear,0,0,41.53,41.53,1.34,clear-day
67,b6afe600d8e7eb42f05effe3b106d06b6ade99bd,2014-07-14T11:15:00,Light Rain,0.022,0.5,71.03,71.34,0.29,rain
68,b51064df86efca7c5be24dc0019e23b3e85cdbb7,2013-02-15T06:15:00,Overcast,0,0,26.74,20.24,5.68,cloudy
69,b9d8508545aefc326a855c872416862d376a9198,2013-07-27T06:00:00,Overcast,0,0,60.3,60.3,3.05,cloudy
70,b008d288d39537e10cbea49c0a8573755f671b5c,2013-10-20T03:00:00,Clear,0,0,44.03,44.03,1.72,clear-night
71,b8d00dc598c040d3bff4c880c3f5d7025456493d,2015-11-13T04:30:00,Partly Cloudy,0,0,39,34.19,6.57,partly-cloudy-night
72,b51082f6a9a6f09fa811fcd10b7e22be167ae46d,2015-09-02T03:30:00,Partly Cloudy,0,0,73.03,74.06,1.01,partly-cloudy-night
73,b4c71fc9d020b885fc5e1a6a26ac5909a74f9d3c,2013-09-05T04:00:00,Partly Cloudy,0,0,69.04,69.62,1.34,partly-cloudy-night
74,b0bba1cd0125808b3e3c5c0109449e0e26768856,2014-05-17T12:00:00,Mostly Cloudy,0,0,54.96,54.96,3.93,partly-cloudy-day
75,b54b2f694d47bd1eedffc9f618caece14c9b165c,2015-04-28T10:15:00,Clear,0,0,52.89,52.89,1.59,clear-day
76,b4af04e23c1c976fc42b3a209791a3c683245c61,2016-02-16T09:45:00,Overcast,0,0,28.77,28.77,1.19,cloudy
77,b3341e25c6f7eaffd9d14f709551d7ba2612401f,2015-03-03T08:45:00,Foggy,0,0,29.06,22.9,5.8,fog
78,c22f4a584f4a90cfa5ab628f12b4726da6f734bb,2013-08-18T04:15:00,Clear,0,0,62.78,62.78,0.05,clear-night
79,c19bfc6134184c4a149d2b40ac7d185fe4777618,2015-06-02T10:30:00,Clear,0,0,65.62,65.62,0.81,clear-day
80,b0dca79cf18d47cc7866338871de50f55aa38546,2014-11-07T08:45:00,Partly Cloudy,0,0,37.62,34.95,3.62,partly-cloudy-day
81,b261cb379ecb3affb56cb4b21cda28faad7b4e6c,2014-08-25T11:45:00,Humid and Mostly Cloudy,0,0,85.45,95.62,1.25,partly-cloudy-day
82,ba57a5ebe0a3cdf685da7ee86787adf99a629545,2013-11-20T07:15:00,Partly Cloudy,0,0,32.7,28.75,4.13,partly-cloudy-day
83,b69b505065822c8910a8ca6ae148a33d333578a0,2015-10-28T09:45:00,Light Rain,0.0123,0.89,56.12,56.12,4.73,rain
