,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
0,clear,2559,9.183274716686206e-06,0.001445877295818679,47.44880812817511,46.108475967174755,2.7693278624462647,839.8807662236122,3.0233919499804607,12.911418522860496,15.089144196951944
1,cloudy,2155,0.00022208816705336437,0.028839907192575433,41.5341252900232,38.880190255220334,4.34298839907192,750.6372503483511,2.8779303944315617,11.702069605568443,13.746631090487233
2,partly cloudy,3462,6.707105719237437e-05,0.007510109763142693,52.93425187752744,51.81313980358172,3.53970537261699,744.3238948280843,2.793945696129413,12.389662045060653,14.346975736568456
3,rain,639,0.034485133020344276,0.7409389671361498,54.6789827856026,53.748356807511776,3.959467918622847,782.4796238244514,3.5805633802816836,12.172472613458517,14.184835680751165
4,snow,27,0.00661111111111111,0.485925925925926,33.2774074074074,29.696296296296296,4.898148148148147,588.8888888888889,1.534074074074074,8.595925925925926,9.725555555555555
