,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
0,clear-day,976,1.8340163934426225e-05,0.0028790983606557384,50.67611680327864,49.117694672131165,3.502766393442621,793.5922131147541,3.1541290983606607,13.329272540983617,15.554518442622948
1,clear-night,1003,1.8943170488534397e-06,0.0002492522432701894,44.07910269192422,42.890837487537375,2.1117846460618153,855.4131736526946,2.91807577268195,12.767726819541386,14.964307078763722
2,cloudy,1485,0.00022572390572390592,0.029845117845117865,41.75903703703704,39.08063973063969,4.449865319865313,757.6237356709373,2.9443703703703688,11.813521885521878,13.947225589225583
3,fog,167,0.00013173652694610782,0.01778443113772455,38.94041916167665,36.42568862275451,3.372634730538921,784.6706586826348,2.690538922155689,11.58544910179641,13.34497005988024
4,partly-cloudy-day,1770,7.937853107344635e-05,0.008361581920903952,54.84292090395486,53.69894350282492,3.957711864406788,723.6308648954212,2.761587570621466,11.853954802259898,13.867553672316388
5,partly-cloudy-night,911,4.4346871569703635e-05,0.005565312843029639,48.71736553238202,47.54230515916574,2.773095499451152,811.609220636663,2.6933369923161354,12.275828759604837,14.269462129527998
6,rain,508,0.034662204724409444,0.7478937007874015,54.77350393700795,53.86675196850397,3.941515748031497,758.4291338582677,3.8893110236220454,11.884212598425183,13.892303149606287
7,snow,22,0.007445454545454544,0.505909090909091,33.23454545454544,29.341363636363635,5.102727272727273,534.5454545454545,1.0827272727272725,7.574545454545454,8.506363636363636
