,Trip ID,time,summary,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,icon
1116,b4804a85bb361b2c59185569f9f4165b01e133ab,2014-07-29T08:45:00,Partly Cloudy,0,0,66.52,66.52,2.65,partly-cloudy-day
1117,b3f05ed78e53dcdc5070f7972517f893d84f538b,2016-06-16T01:30:00,Clear,0,0,76.72,77.28,3.55,clear-night
1118,b6dbc015de7f69f86380ffded4fad7e6ef4cef8b,2016-07-28T04:00:00,Clear,0,0,71.42,72.23,0.04,clear-night
1119,b1292e49d8a9b6db3af7e2b39f99022cfd2dda49,2013-12-20T06:45:00,Drizzle,0.009,0.88,34.85,30.56,4.85,rain
1120,b44ad6059d4d2c73cd83afdd86938035117c00c6,2013-09-22T05:45:00,Clear,0,0,49.88,49.88,0.71,clear-night
1121,b8fb23c7e53e2ad35a6a17501509d89b256ef245,2014-02-27T10:30:00,Clear,0,0,7.53,-3.23,6.28,clear-day
1122,c33db5fdb04ca1d7fe56c56bd472a20fcd931e50,2015-05-10T02:15:00,Drizzle,0.0055,0.55,47.15,46.32,3.14,rain
1123,b1e012ef5f55f2dea39886537cfebf521ce60010,2014-10-19T02:45:00,Clear,0,0,36.56,36.56,0.08,clear-night
1124,bba79af8c0b372e1c6617b776a03e689d3c3f6da,2015-06-27T09:45:00,Partly Cloudy,0,0,65.67,65.67,5.45,partly-cloudy-day
1125,c1975139fbde4299e940af60414a4e15eeab7b17,2013-04-05T02:30:00,Clear,0,0,43.76,41.33,4.41,clear-night
1126,b44c00da062519e582c5fbc2495ebbe0081e36f3,2014-08-12T03:30:00,Light Rain,0.024,0.46,66.39,66.95,3.52,rain
1127,b5d76c4c1c385eed0e70b25ee704446f8751f485,2016-03-15T12:00:00,Overcast,0,0,51.1,51.1,4.54,cloudy
1128,be866468b936b5929cc9d3edf2a9735e5e653b11,2013-02-12T07:30:00,Overcast,0,0,25.7,20.18,4.53,cloudy
1129,bc2ec536ce4575a851159b013090fc43224c5b60,2017-03-18T02:15:00,Overcast,0,0,41.14,36.63,6.8,cloudy
1130,c450c3c96ae76975a6466710c01248e61c8f3b41,2015-06-16T04:30:00,Partly Cloudy,0,0,64.47,65.06,1.22,partly-cloudy-night
1131,b30242be3670b20deb2c09b55860d09502dc4c5f,2015-08-16T01:00:00,Clear,0,0,73.29,74.46,0.67,clear-night
1132,c10eaa0b22815681364780ba366eee98aade1951,2014-07-20T12:30:00,Partly Cloudy,0,0,79.55,79.6,1.29,partly-cloudy-day
1133,c1c4611d0acd33a721659a2e8bb75b84056498ea,2017-01-08T10:45:00,Clear,0,0,11.72,11.72,1.03,clear-day
1134,bceb6cd87e0c64fd4087d34a3bfe4e0cb4273edc,2015-04-13T09:15:00,Mostly Cloudy,0.0029,0.57,57.88,57.88,5.58,partly-cloudy-day
1135,bc2efe3e30275f35af5ac1f6e915f0fc1b993645,2015-06-02T04:15:00,Clear,0,0,44.66,44.66,0.22,clear-night
1136,b8b1f001609d0aa6529de325e4136a32e4d349c6,2013-09-20T02:45:00,Drizzle,0.0047,0.45,69.79,70.42,1.65,rain
1137,bdb50ef39455dc8e047a662f870411f7843e0121,2013-08-24T11:30:00,Clear,0,0,81.05,81.92,2.27,clear-day
1138,c21c483a4f459b7e31b89629fdc08fae4357ef3b,2015-08-06T05:00:00,Partly Cloudy,0,0,67.67,68.1,0.94,partly-cloudy-night
1140,c4877c5b7f694ef2af972dea86c453a41b849e0f,2015-09-12T03:00:00,Partly Cloudy,0,0,53.39,53.39,2.93,partly-cloudy-night
1141,b375271c1ad254f5df845da4bcee264b1c3d1563,2016-05-01T03:30:00,Overcast,0.001,0.2,45.35,43.54,3.96,cloudy
1142,b15c4f9b69931a4370300580435abc9ec3b3cb64,2014-10-15T10:00:00,Overcast,0.0007,0.16,51.89,51.89,3.6,cloudy
1143,bbc49558ab7a46f900e83e9eb16ff8f821673ed4,2013-02-01T08:00:00,Clear,0,0,1.66,-10.16,6.21,clear-day
1144,c2aaa52fac99a253875bc9b84ac45dfb6538265d,2014-06-24T02:00:00,Mostly Cloudy,0,0,70.46,71.48,0.04,partly-cloudy-night
1145,b3c58badff8dc452dba9f44e3a826e30350986a3,2013-11-15T10:45:00,Mostly Cloudy,0,0,46.16,43.46,5.38,partly-cloudy-day
1146,b0a68fa03380e138504c6973e8b9c26260871fce,2013-03-13T08:45:00,Partly Cloudy,0,0,24.53,15.98,7.67,partly-cloudy-day
1147,b451eae43ccd04945a1372e7ee8c39a1b539a87d,2014-10-09T11:00:00,Clear,0,0,56.42,56.42,2.32,clear-day
1148,b4c094fbac9e4e81becebde7c78300f6fc2555f8,2017-03-26T08:00:00,Light Rain,0.0375,1,48.38,48.38,1.89,rain
1149,b97bc890711850820dcac18c6732bfede7a0ed78,2014-10-17T10:45:00,Partly Cloudy,0,0,58.09,58.09,4.95,partly-cloudy-day
