,icon,Trip ID,precipIntensity,precipProbability,temperature,apparentTemperature,windSpeed,Trip Seconds,Trip Miles,Fare,Trip Total
0,clear,1979,1.0005053057099545e-05,0.0015462354724608387,47.33260737746338,45.96178878221327,2.7977867609903955,824.9089989888777,3.0344921677614964,13.044669024759985,15.255386558868112
1,cloudy,1652,0.00021622276029055712,0.028625907990314798,41.47410411622272,38.81225181598056,4.3409685230024175,760.3612121212121,2.9187106537530294,11.790466101694921,13.886343825665866
2,partly cloudy,2681,6.747482282730328e-05,0.007411413651622529,52.76146587094376,51.60692651995529,3.5551809026482717,753.5369402985075,2.7383961208504313,11.997306975009316,14.004121596419232
3,rain,508,0.034662204724409444,0.7478937007874015,54.77350393700795,53.86675196850397,3.941515748031497,758.4291338582677,3.8893110236220454,11.884212598425183,13.892303149606287
4,snow,22,0.007445454545454544,0.505909090909091,33.23454545454544,29.341363636363635,5.102727272727273,534.5454545454545,1.0827272727272725,7.574545454545454,8.506363636363636
